stage,name,status,seconds,class_name
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-initial,ok,8.381903171539307e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-current,ok,9.238719940185547e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-ending,ok,9.462237358093262e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-transitional,ok,8.270144462585449e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-temporal-scalar,ok,8.381903171539307e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect-phase,ok,0.0006363168358802795,CompositeDimension
dimension,morphosyntax-morphology-verbs-periphrasis-temporal-aspect,ok,0.0012810193002223969,CompositeDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals-obligation,ok,2.1010637283325195e-06,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals-hability,ok,9.57399606704712e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals-probability,ok,1.1064112186431885e-06,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals-certainty,ok,9.126961231231689e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals-approach,ok,8.642673492431641e-07,PeriphrasisDimension
dimension,morphosyntax-morphology-verbs-periphrasis-modals,ok,0.0004925243556499481,CompositeDimension
dimension,morphosyntax-morphology-verbs-periphrasis,ok,0.0020691826939582825,CompositeDimension
dimension,morphosyntax-morphology-verbs-number-singular-first,ok,0.05000889673829079,WordPerDictionary
dimension,morphosyntax-morphology-verbs-number-singular-second,ok,0.04774388298392296,WordPerDictionary
dimension,morphosyntax-morphology-verbs-number-singular-third,ok,0.048122894018888474,WordPerDictionary
dimension,morphosyntax-morphology-verbs-number-singular,ok,0.17045176401734352,CompositeDimension
dimension,morphosyntax-morphology-verbs-number-plural-first,ok,0.049416281282901764,WordPerDictionary
dimension,morphosyntax-morphology-verbs-number-plural-second,ok,0.049167338758707047,WordPerDictionary
dimension,morphosyntax-morphology-verbs-number-plural-third,ok,0.04520188271999359,WordPerDictionary
